id,uid,type,data,created_at,updated_at
11,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""86344e06-fddb-4a7a-94ac-02cd6d6cd419"", ""_rev"": ""1-a3ba76b61156c4e1275be988d4fdb8ce"", ""time"": ""2020-04-24T14:03:33.982Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:34","2020-04-24 14:03:34"
12,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""4d295d9e-9973-47ba-901a-30679168b1a2"", ""_rev"": ""1-af45f8e5c70e7eec39bd771360b6a656"", ""time"": ""2020-04-24T14:03:37.012Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:37","2020-04-24 14:03:37"
13,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""e776c7c6-a438-4c7f-8dd5-b262d3230332"", ""_rev"": ""1-7d36ff2cb4153c950f4fa5ef305250a2"", ""time"": ""2020-04-24T14:03:38.380Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:39","2020-04-24 14:03:39"
14,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""8c9875c8-8600-4527-8eb7-bdee71640144"", ""_rev"": ""1-6905e6f601e9a881e7cffff852034df4"", ""time"": ""2020-04-24T14:03:38.799Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:39","2020-04-24 14:03:39"
15,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""bf2074c7-e131-4a5e-ae56-596931ee991d"", ""_rev"": ""1-cd3531b461b37eb0d2c9653cb4a2ecc0"", ""time"": ""2020-04-24T14:03:39.321Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:40","2020-04-24 14:03:40"
16,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""56f8f6e6-18b7-46e5-a75b-e4e23f0fd56a"", ""_rev"": ""1-a9589dc0d284d911dde4829d009e4d60"", ""time"": ""2020-04-24T14:03:39.691Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:40","2020-04-24 14:03:40"
17,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""e4ba443d-8dbf-4027-846a-d868dfd25e43"", ""_rev"": ""1-5a684c1ad2ca32ef0ffba8abd9bd1a87"", ""time"": ""2020-04-24T14:03:41.274Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:41","2020-04-24 14:03:41"
18,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""894548b7-ba04-4eab-ba44-d472a099504d"", ""_rev"": ""1-2178975058deb064439bef03513eeeae"", ""time"": ""2020-04-24T14:03:41.854Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:42","2020-04-24 14:03:42"
19,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""8746e4fd-a22c-4c32-9b6f-8e1927894010"", ""_rev"": ""1-c494a3b93e95c40bb08f724d7f3b36f0"", ""time"": ""2020-04-24T14:03:42.366Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:43","2020-04-24 14:03:43"
20,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""744c3cb9-6f2a-469e-a426-8e0d51c19838"", ""_rev"": ""1-73e51767b58eed2b8e5b7280fead40de"", ""time"": ""2020-04-24T14:03:43.250Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:03:45","2020-04-24 14:03:45"
21,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""a31fa1c7-6d35-41ee-a7d7-207028b54fb0"", ""_rev"": ""1-ef39c9cfe11c013adc02d82c408ab030"", ""time"": ""2020-04-24T14:03:44.723Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 0, ""accuracy"": 21.049999237060547, ""altitude"": -29.69999885559082, ""latitude"": 23.757848, ""longitude"": 90.3680846, ""breaking_accuracy"": 0}","2020-04-24 14:03:45","2020-04-24 14:03:45"
22,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""56c732cb-edad-4a43-b7da-d762fda0dc1e"", ""_rev"": ""1-6da07a27e77eacb50d8256185305de59"", ""time"": ""2020-04-24T14:03:59.038Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:04:00","2020-04-24 14:04:00"
23,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,OPEN,"{""_id"": ""00246c45-77a6-4f0b-beff-83862f4bb5d8"", ""_rev"": ""1-0af45a44ff293f0049e8efbdfab5e5e5"", ""time"": ""2020-04-24T14:05:52.793Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""returning"": true}","2020-04-24 14:05:54","2020-04-24 14:05:54"
24,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""07a7c1e8-66ca-4402-9c3e-c30dc968a2b9"", ""_rev"": ""1-96364f2fce5599e9bc184bd7e8191924"", ""time"": ""2020-04-24T14:05:52.855Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:05:54","2020-04-24 14:05:54"
25,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""18fe3553-db52-4fb1-8fd9-f12a398f95b7"", ""_rev"": ""1-b150903e66681b63e17f3287b0c68bfb"", ""time"": ""2020-04-24T14:05:55.166Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:05:55","2020-04-24 14:05:55"
26,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""a9db9602-2af5-4b89-9f78-fbf133324e62"", ""_rev"": ""1-bb4fb0d37e72fa0395eed6cf4db23857"", ""time"": ""2020-04-24T14:05:56.112Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:05:56","2020-04-24 14:05:56"
27,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""e4f3a748-80e4-414f-9421-671639609a6f"", ""_rev"": ""1-e65a5c205cab7806ab5676b9393cf505"", ""time"": ""2020-04-24T14:05:57.681Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 0, ""accuracy"": 15.414999961853027, ""altitude"": -29.69999885559082, ""latitude"": 23.7578081, ""longitude"": 90.3680934, ""breaking_accuracy"": 0}","2020-04-24 14:05:58","2020-04-24 14:05:58"
28,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""7ca7807b-e992-4504-9bfc-e871e7043581"", ""_rev"": ""1-90e260547d05d5f6ed5375eade001db9"", ""time"": ""2020-04-24T14:05:59.854Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:00","2020-04-24 14:06:00"
29,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""d14fe899-96a8-4bc2-8a58-6089bfb892ee"", ""_rev"": ""1-7d04cfe643b6b35cd69071e0bea78900"", ""time"": ""2020-04-24T14:06:01.673Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:02","2020-04-24 14:06:02"
30,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""9b7c991f-cf85-416c-ac15-e6d44a685fc9"", ""_rev"": ""1-9ed6f39af5e3797cf00f334b0c5555fc"", ""time"": ""2020-04-24T14:06:02.599Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:03","2020-04-24 14:06:03"
31,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""ed260ae6-4bb4-4f6d-9670-ef5a60dbf134"", ""_rev"": ""1-6f45a359557dc0dde617570bc9c1cbff"", ""time"": ""2020-04-24T14:06:03.240Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:03","2020-04-24 14:06:03"
32,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""6e14a6e7-cb88-4bd6-b32f-855a55aee272"", ""_rev"": ""1-f3dc37ce6e9e35fb5d45f1c4c226efd7"", ""time"": ""2020-04-24T14:06:03.418Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:04","2020-04-24 14:06:04"
33,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SELF_PROFILE_VIEW,"{""_id"": ""6b22a6d6-190c-4d4e-b751-d36bc2aa029c"", ""_rev"": ""1-3193ccf7ec4e456c070b1bff96d95ed1"", ""time"": ""2020-04-24T14:06:04.098Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:04","2020-04-24 14:06:04"
34,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""d91f1d77-a376-42f4-bea3-2e6fe62e0968"", ""_rev"": ""1-72dcd3258c0c9eb85b8626aab803dd62"", ""time"": ""2020-04-24T14:06:05.917Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:06","2020-04-24 14:06:06"
35,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""950a6bcc-2fb9-49e7-93fc-9ec9c1d89470"", ""_rev"": ""1-9a03fc78d5185b1f3ccbbe6474cabcb5"", ""time"": ""2020-04-24T14:06:07.072Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:07","2020-04-24 14:06:07"
36,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""18625de1-b2c5-471d-8286-cd6740273a3a"", ""_rev"": ""1-5587f3a3870dacb0cce6144e043e81e4"", ""time"": ""2020-04-24T14:06:08.457Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:09","2020-04-24 14:06:09"
37,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""a743f631-1d7e-42b1-97da-703b85beb95e"", ""_rev"": ""1-d83d404cc7ab8a1ba1fcac935517262d"", ""time"": ""2020-04-24T14:06:25.437Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:26","2020-04-24 14:06:26"
38,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""0e050700-e623-4ad4-a282-46cc351edcdc"", ""_rev"": ""1-213035e219b83544c585d82be3b47dfa"", ""time"": ""2020-04-24T14:06:25.966Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:26","2020-04-24 14:06:26"
39,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""06e26b67-b18b-49c4-9767-d2994e6ab81a"", ""_rev"": ""1-e8d39d8bd540adcb27988d49a3f557d2"", ""time"": ""2020-04-24T14:06:26.278Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:26","2020-04-24 14:06:26"
40,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""1eff46f2-a8a4-4838-8569-79e97110f800"", ""_rev"": ""1-8d26c897ed9be20283861a61134e37cb"", ""time"": ""2020-04-24T14:06:26.853Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:27","2020-04-24 14:06:27"
41,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""ae67fc43-b7f3-4626-9604-1de21a24deee"", ""_rev"": ""1-2150bfeb29366a334ae7a47dc7de09ae"", ""time"": ""2020-04-24T14:06:28.401Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 0, ""accuracy"": 34.47100067138672, ""altitude"": -23.19999885559082, ""latitude"": 23.7578846, ""longitude"": 90.3680564, ""breaking_accuracy"": 0}","2020-04-24 14:06:29","2020-04-24 14:06:29"
42,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""d5bfce45-d98b-484a-862e-30c93489a077"", ""_rev"": ""1-d7b58ff20446cb389716e9bae3fc3036"", ""time"": ""2020-04-24T14:06:28.399Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 0, ""accuracy"": 34.47100067138672, ""altitude"": -23.19999885559082, ""latitude"": 23.7578846, ""longitude"": 90.3680564, ""breaking_accuracy"": 0}","2020-04-24 14:06:29","2020-04-24 14:06:29"
43,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""7b386dfd-7d54-4757-8124-524bf429f735"", ""_rev"": ""1-996dd383b87c42e5429c2c6f3664637b"", ""time"": ""2020-04-24T14:06:32.586Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:33","2020-04-24 14:06:33"
44,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""4bd25af8-3ed6-4bb7-9010-42b30de4fa92"", ""_rev"": ""1-f4aecf4cf4309a0ca49de3a4ed69df2e"", ""time"": ""2020-04-24T14:06:33.639Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:34","2020-04-24 14:06:34"
45,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""75f28e43-98c6-4879-a019-df780fe6001e"", ""_rev"": ""1-9a555ce1a2cf379fc27af5c38f7b04f9"", ""time"": ""2020-04-24T14:06:34.015Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 322.2441101074219, ""accuracy"": 18.76799964904785, ""altitude"": -29.600000381469727, ""latitude"": 23.7578872, ""longitude"": 90.3680542, ""breaking_accuracy"": 0}","2020-04-24 14:06:34","2020-04-24 14:06:34"
46,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""8fb20f41-d9ea-4e04-89f8-6c1076e5d3f3"", ""_rev"": ""1-58fb983e65664a23faf683a96f144dad"", ""time"": ""2020-04-24T14:06:34.568Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:35","2020-04-24 14:06:35"
47,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""33afa64f-7eec-46b6-8fba-bf3bca9d5091"", ""_rev"": ""1-80a8ec45608a9d2a392ab2ed84d68811"", ""time"": ""2020-04-24T14:06:35.299Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 322.2441101074219, ""accuracy"": 18.76799964904785, ""altitude"": -29.600000381469727, ""latitude"": 23.7578872, ""longitude"": 90.3680542, ""breaking_accuracy"": 0}","2020-04-24 14:06:35","2020-04-24 14:06:35"
48,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""838523b7-f00f-4088-9900-7078988f3a4e"", ""_rev"": ""1-53b41cfc9c5bb59dbf429a9b894385d9"", ""time"": ""2020-04-24T14:06:35.255Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:36","2020-04-24 14:06:36"
49,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""1447a9da-f1be-4906-9d27-04847dbf02b9"", ""_rev"": ""1-e4128977e3f3f3da1bf684cef5f2eec3"", ""time"": ""2020-04-24T14:06:35.935Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:36","2020-04-24 14:06:36"
50,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""6403fe9a-703a-4869-a044-a8b1572ee96a"", ""_rev"": ""1-f7f8a3e762097378bf07dce60f84db90"", ""time"": ""2020-04-24T14:06:36.493Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:06:37","2020-04-24 14:06:37"
51,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""2ab8e31a-bb5a-4bac-8099-fc3271e060d9"", ""_rev"": ""1-762a7a9a4a3222f55dd5d9f1d8353557"", ""time"": ""2020-04-24T14:06:37.682Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:38","2020-04-24 14:06:38"
52,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""9abe6c9b-b840-4608-9573-3ef7d3a74f3b"", ""_rev"": ""1-dabc685c7ffb7e766ecd0f14ecbd791b"", ""time"": ""2020-04-24T14:06:38.132Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:38","2020-04-24 14:06:38"
53,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""3d4e3be1-2f26-47d6-98ab-7d07f8a27f1c"", ""_rev"": ""1-439f2b37735cdc825f892c12694de7c1"", ""time"": ""2020-04-24T14:06:38.540Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:39","2020-04-24 14:06:39"
54,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""2617847d-6ef1-41a1-b083-8b75ce7e5838"", ""_rev"": ""1-174ed37d348f37d0424782f174759bcb"", ""time"": ""2020-04-24T14:06:38.809Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:39","2020-04-24 14:06:39"
55,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""cec4fd17-0bb0-4328-86ac-fe91265730c4"", ""_rev"": ""1-5065e09b8add08c96398e0a0efcd6cc1"", ""time"": ""2020-04-24T14:06:39.032Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:39","2020-04-24 14:06:39"
56,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""7eef1fc6-f5bf-4983-bbe5-19a42f217b80"", ""_rev"": ""1-274a83cdf26a17dbf9bd26735870cd92"", ""time"": ""2020-04-24T14:06:39.245Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:41","2020-04-24 14:06:41"
57,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""2dac14f6-0ce7-425c-8826-5c5ab44224f7"", ""_rev"": ""1-8772a8940685b4ed159108d00d22721f"", ""time"": ""2020-04-24T14:06:39.966Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:41","2020-04-24 14:06:41"
58,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""48042dfe-df86-4f09-bf66-cc313d1e9c0f"", ""_rev"": ""1-b60861c1d76486d87354d51615e08d61"", ""time"": ""2020-04-24T14:06:39.473Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:06:41","2020-04-24 14:06:41"
